bank,review,rating,date,source,cleaned
CBE,CBE ይለያል።,5,2025-11-29,Google Play,cbe
CBE,it's special for me,5,2025-11-29,Google Play,its special for me
CBE,Make it user friendly.,2,2025-11-29,Google Play,make it user friendly
CBE,maaliif daddafee install gaafata,3,2025-11-28,Google Play,maaliif daddafee install gaafata
CBE,good app,5,2025-11-28,Google Play,good app
CBE,This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,Google Play,this application is very important and advantage for transfer of money and finance in the coutry and foriegn country
CBE,why didn't work this app?,1,2025-11-27,Google Play,why didnt work this app
CBE,The app makes our life easier. Thank you CBE!,5,2025-11-27,Google Play,the app makes our life easier thank you cbe
CBE,this app very bad 👎,1,2025-11-27,Google Play,this app very bad
CBE,the most advanced app. but how to stay safe?,5,2025-11-27,Google Play,the most advanced app but how to stay safe
CBE,Good application,4,2025-11-27,Google Play,good application
CBE,It is nice app,5,2025-11-26,Google Play,it is nice app
CBE,best,5,2025-11-25,Google Play,best
CBE,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,Google Play,it suddenly asked me to enter the verification key i received and it get your verification key from the nearest cbe branch now im in australia what do you expect me to do there is no nearest or furthermost cbe branch so frustrating how can i manage my bank account now
CBE,nice app...,5,2025-11-25,Google Play,nice app
CBE,very good banking service and fast service,5,2025-11-24,Google Play,very good banking service and fast service
CBE,thanks blc this app help me to use all time,5,2025-11-24,Google Play,thanks blc this app help me to use all time
CBE,good,5,2025-11-24,Google Play,good
CBE,why we can't send money to other people telebirr wallets??,1,2025-11-24,Google Play,why we cant send money to other people telebirr wallets
CBE,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,Google Play,15 birr 1150
CBE,በጣም ቀላልና ምቹ ነው።,5,2025-11-23,Google Play,
CBE,wow,5,2025-11-23,Google Play,wow
CBE,nice,5,2025-11-22,Google Play,nice
CBE,you are the reason why i got ye chogara himem,1,2025-11-22,Google Play,you are the reason why i got ye chogara himem
CBE,it is so smart app i recommend it for everyone,5,2025-11-22,Google Play,it is so smart app i recommend it for everyone
CBE,excellent,5,2025-11-22,Google Play,excellent
CBE,ዳጊ,5,2025-11-21,Google Play,
CBE,absolutely right,5,2025-11-21,Google Play,absolutely right
CBE,mid application it's so annoying,3,2025-11-20,Google Play,mid application its so annoying
CBE,I used morethan one year,4,2025-11-20,Google Play,i used morethan one year
