bank,review,rating,date,source
CBE,CBE ይለያል።,5,2025-11-29,Google Play
CBE,it's special for me,5,2025-11-29,Google Play
CBE,Make it user friendly.,2,2025-11-29,Google Play
CBE,maaliif daddafee install gaafata,3,2025-11-28,Google Play
CBE,good app,5,2025-11-28,Google Play
CBE,This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,Google Play
CBE,why didn't work this app?,1,2025-11-27,Google Play
CBE,The app makes our life easier. Thank you CBE!,5,2025-11-27,Google Play
CBE,this app very bad 👎,1,2025-11-27,Google Play
CBE,the most advanced app. but how to stay safe?,5,2025-11-27,Google Play
CBE,Good application,4,2025-11-27,Google Play
CBE,It is nice app,5,2025-11-26,Google Play
CBE,best,5,2025-11-25,Google Play
CBE,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,Google Play
CBE,nice app...,5,2025-11-25,Google Play
CBE,very good banking service and fast service,5,2025-11-24,Google Play
CBE,thanks blc this app help me to use all time,5,2025-11-24,Google Play
CBE,good,5,2025-11-24,Google Play
CBE,why we can't send money to other people telebirr wallets??,1,2025-11-24,Google Play
CBE,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,Google Play
CBE,በጣም ቀላልና ምቹ ነው።,5,2025-11-23,Google Play
CBE,wow,5,2025-11-23,Google Play
CBE,nice,5,2025-11-22,Google Play
CBE,you are the reason why i got ye chogara himem,1,2025-11-22,Google Play
CBE,it is so smart app i recommend it for everyone,5,2025-11-22,Google Play
CBE,excellent,5,2025-11-22,Google Play
CBE,ዳጊ,5,2025-11-21,Google Play
CBE,absolutely right,5,2025-11-21,Google Play
CBE,mid application it's so annoying,3,2025-11-20,Google Play
CBE,I used morethan one year,4,2025-11-20,Google Play
CBE,no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,Google Play
CBE,"It's great app,I love this app",5,2025-11-20,Google Play
CBE,Nice,5,2025-11-19,Google Play
CBE,suckkkks,1,2025-11-19,Google Play
CBE,not allowing to transfer and showing current statement updates.,1,2025-11-19,Google Play
CBE,I love you this app,5,2025-11-19,Google Play
CBE,"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,Google Play
CBE,make life easy,5,2025-11-19,Google Play
CBE,securr,5,2025-11-19,Google Play
CBE,My most optional bank,5,2025-11-17,Google Play
CBE,5 star,5,2025-11-17,Google Play
CBE,it is fantastic app.,5,2025-11-16,Google Play
CBE,sifen,5,2025-11-16,Google Play
CBE,i like this√,4,2025-11-16,Google Play
CBE,Ok,3,2025-11-16,Google Play
CBE,ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,Google Play
CBE,"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,Google Play
CBE,Like,5,2025-11-13,Google Play
CBE,Nice and very useful app i like it!,5,2025-11-13,Google Play
CBE,Good,5,2025-11-13,Google Play
CBE,smart app,4,2025-11-12,Google Play
CBE,good App,5,2025-11-12,Google Play
CBE,sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,Google Play
CBE,ok,5,2025-11-11,Google Play
CBE,cbe is my choice,4,2025-11-11,Google Play
CBE,Awesome,5,2025-11-11,Google Play
CBE,I am not able to transfer. The app is not responding,1,2025-11-11,Google Play
CBE,Very convenient App,5,2025-11-11,Google Play
CBE,excellent but sometimes can not connect,5,2025-11-10,Google Play
CBE,wow apk,5,2025-11-10,Google Play
CBE,best 100 %,5,2025-11-10,Google Play
CBE,bad app,1,2025-11-10,Google Play
CBE,best app,5,2025-11-10,Google Play
CBE,nice app,5,2025-11-10,Google Play
CBE,the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,Google Play
CBE,I can't access it properly I think it needs update,1,2025-11-10,Google Play
CBE,👌👌,5,2025-11-10,Google Play
CBE,best 👌,5,2025-11-10,Google Play
CBE,not Refresh,2,2025-11-10,Google Play
CBE,your statement is not used as wanted,1,2025-11-10,Google Play
CBE,good very good,5,2025-11-09,Google Play
CBE,this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,Google Play
CBE,Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,Google Play
CBE,Good !,5,2025-11-08,Google Play
CBE,i like it,5,2025-11-08,Google Play
CBE,Very nice app,5,2025-11-08,Google Play
CBE,the app is not functional this week.,4,2025-11-08,Google Play
CBE,very updated bank,5,2025-11-06,Google Play
CBE,tankyu,5,2025-11-05,Google Play
CBE,Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,Google Play
